pressure,height,temperature,dewpoint,direction,speed,u_wind,v_wind,station,station_number,time,latitude,longitude,elevation,pw
1012.0,9.0,24.8,23.6,0,0,0.0,0.0,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
1003.0,88.0,26.3,22.6,210,14,7.000000000000002,12.12435565298214,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
1000.0,115.0,26.8,22.2,210,14,7.000000000000002,12.12435565298214,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
993.0,177.0,26.8,21.8,200,14,4.788282006559362,13.155696691002717,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
986.0,240.0,26.6,20.8,190,14,2.4310744873370265,13.787308542170912,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
985.0,249.0,26.6,20.6,190,14,2.4310744873370265,13.787308542170912,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
979.0,303.0,26.4,20.4,190,14,2.4310744873370265,13.787308542170912,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
977.0,321.0,26.4,20.4,192,14,2.910763671448633,13.694066410273278,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
970.0,385.0,26.4,21.4,200,12,4.104241719908024,11.276311449430901,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
954.0,533.0,26.2,19.2,217,9,5.4163352083684355,7.187719590425635,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
947.0,598.0,25.8,19.1,225,8,5.65685424949238,5.6568542494923815,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
941.0,654.0,25.5,18.9,245,7,6.34415450925655,2.958327832184894,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
925.0,805.0,24.6,18.6,210,4,2.0000000000000004,3.4641016151377544,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
920.0,853.0,24.2,19.2,205,4,1.690473046962797,3.6252311481466,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
915.0,900.0,23.9,19.1,225,2,1.414213562373095,1.4142135623730954,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
910.0,948.0,23.6,18.9,280,1,0.9848077530122081,-0.17364817766692997,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
901.0,1035.0,23.0,18.7,270,3,3.0,5.51091059616309e-16,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
874.0,1301.0,21.2,17.9,280,8,7.878462024097665,-1.3891854213354398,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
850.0,1542.0,19.6,16.1,290,12,11.2763114494309,-4.104241719908028,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
831.0,1737.0,18.3,14.2,305,10,8.191520442889917,-5.7357643635104605,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
827.0,1778.0,18.0,13.8,304,10,8.290375725550415,-5.59192903470747,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
796.0,2104.0,15.4,12.1,300,10,8.660254037844386,-5.000000000000001,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
791.0,2158.0,15.0,11.8,299,10,8.746197071393956,-4.848096202463373,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
776.0,2320.0,14.0,10.4,296,10,8.98794046299167,-4.383711467890774,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
768.0,2408.0,13.4,10.3,295,11,9.969385657403148,-4.648800879147696,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
743.0,2686.0,12.0,8.0,290,11,10.336618828644992,-3.762221576582359,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
732.0,2811.0,11.4,6.9,303,10,8.386705679454243,-5.446390350150266,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
722.0,2926.0,10.6,7.3,315,9,6.363961030678929,-6.363961030678926,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
718.0,2973.0,10.2,7.4,306,9,7.281152949374528,-5.290067270632257,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
713.0,3031.0,9.9,7.0,295,9,8.156770083329848,-3.8035643556662966,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
700.0,3184.0,9.0,6.0,305,8,6.553216354311934,-4.588611490808368,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
652.0,3769.0,5.6,0.9,301,12,10.286007608425347,-6.180456898920649,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
643.0,3881.0,5.0,0.5,300,13,11.258330249197702,-6.500000000000002,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
618.0,4200.0,3.1,-0.5,285,11,10.625184089179752,-2.8470094961277232,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
589.0,4587.0,0.9,-1.8,295,14,12.688309018513097,-5.916655664369794,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
547.0,5182.0,-2.5,-3.8,270,12,12.0,2.204364238465236e-15,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
542.0,5256.0,-2.9,-4.0,276,12,11.93426274441928,-1.2543415592118359,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
530.0,5432.0,-4.0,-5.5,290,11,10.336618828644992,-3.762221576582359,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
500.0,5890.0,-6.9,-9.4,265,13,12.950531075192693,1.1330246557195571,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
494.0,5984.0,-7.2,-9.9,260,11,10.832885283134289,1.9101299543362336,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
482.0,6176.0,-7.9,-11.0,266,11,10.973204552858066,0.7673212111853813,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
472.0,6340.0,-8.1,-9.9,272,11,10.993299097210054,-0.3838944637275141,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
440.0,6883.0,-11.4,-15.4,290,10,9.396926207859083,-3.4202014332566897,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
435.0,6971.0,-11.9,-16.3,288,10,9.510565162951536,-3.0901699437494723,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
424.0,7168.0,-13.1,-15.9,284,11,10.673252989035962,-2.661140851596342,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
419.0,7258.0,-13.9,-18.0,282,11,10.75962360807186,-2.287028598995354,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
405.0,7516.0,-15.5,-17.8,276,12,11.93426274441928,-1.2543415592118359,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
403.0,7554.0,-15.7,-18.2,275,12,11.954336377100947,-1.0458689129718945,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
400.0,7610.0,-16.1,-18.7,275,13,12.950531075192693,-1.1330246557195525,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
364.0,8312.0,-20.9,-27.9,316,19,13.198509038720955,-13.667456206434366,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
357.0,8455.0,-22.0,-28.0,325,20,11.47152872702093,-16.38304088577983,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
340.0,8812.0,-24.7,-28.4,308,17,13.39618281131427,-10.466245080536195,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
327.0,9093.0,-26.4,-31.3,295,14,12.688309018513097,-5.916655664369794,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
322.0,9204.0,-27.1,-32.5,315,14,9.899494936611667,-9.899494936611664,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
316.0,9340.0,-27.9,-33.9,308,17,13.39618281131427,-10.466245080536195,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
300.0,9710.0,-31.1,-35.5,290,24,22.5526228988618,-8.208483439816057,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
299.0,9733.0,-31.3,-35.6,290,24,22.5526228988618,-8.208483439816057,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
273.0,10373.0,-35.5,-38.4,282,27,26.40998521981275,-5.613615652079505,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
250.0,10980.0,-40.3,-43.6,275,29,28.88964624466062,-2.527516539682079,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
228.0,11601.0,-45.1,-49.4,275,33,32.874425037027606,-2.87613951067271,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
213.0,12049.0,-49.0,-52.5,275,36,35.86300913130284,-3.137606738915684,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
208.0,12206.0,-50.3,-53.6,275,35,34.8668144332111,-3.050450996168026,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
200.0,12460.0,-52.5,-56.1,275,33,32.874425037027606,-2.87613951067271,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
197.0,12556.0,-53.3,-56.9,270,30,30.0,5.510910596163089e-15,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
182.0,13061.0,-57.3,-61.1,287,23,21.995009387149814,-6.724549208622944,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
175.0,13305.0,-58.8,-62.4,295,20,18.126155740732997,-8.452365234813993,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
166.0,13634.0,-60.8,-64.2,290,16,15.035081932574533,-5.472322293210704,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
158.0,13941.0,-62.7,-65.8,302,19,16.112913826972097,-10.06846602043089,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
150.0,14260.0,-63.5,-67.9,315,22,15.556349186104049,-15.556349186104041,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
147.0,14383.0,-64.2,-68.6,320,21,13.498539803417332,-16.086933305498533,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
143.0,14550.0,-65.1,-69.6,325,27,15.486563781478255,-22.117105195802772,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
138.0,14766.0,-66.2,-70.9,335,21,8.874983496554684,-19.03246352776965,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
132.0,15036.0,-67.7,-72.5,315,17,12.02081528017131,-12.020815280171306,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
125.0,15366.0,-69.5,-74.5,334,14,6.137196055047089,-12.583116648188335,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
123.0,15462.0,-69.8,-74.7,340,13,4.446261863233691,-12.21600407021681,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
116.0,15811.0,-71.1,-75.6,355,20,1.7431148549531663,-19.92389396183491,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
115.0,15863.0,-71.3,-75.7,353,20,2.4373868681029447,-19.850923032826444,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
112.0,16019.0,-71.6,-76.1,345,20,5.176380902050414,-19.318516525781366,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
111.0,16072.0,-71.7,-76.2,345,21,5.435199947152935,-20.284442352070435,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
110.0,16126.0,-71.7,-76.4,347,24,5.398825304252768,-23.38488155484564,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
108.0,16235.0,-71.5,-76.7,350,30,5.209445330007911,-29.544232590366242,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
106.0,16345.0,-71.2,-77.0,5,28,-2.4403607969344288,-27.893451546568876,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
105.0,16401.0,-71.1,-77.1,8,27,-3.7576737259217667,-26.7372378560224,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
100.0,16690.0,-72.3,-78.3,25,22,-9.297601758295388,-19.9387713148063,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
97.0,16869.0,-72.8,-79.6,25,19,-8.029746973073289,-17.21984795369635,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
96.3,16911.0,-72.9,-79.9,28,18,-8.450488130146034,-15.893056671460686,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
91.8,17191.0,-73.3,-80.3,45,13,-9.192388155425117,-9.19238815542512,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
88.0,17440.0,-72.4,-80.3,60,9,-7.794228634059947,-4.500000000000001,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
82.0,17857.0,-70.8,-80.3,75,12,-11.59110991546882,-3.105828541230249,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
77.0,18228.0,-69.4,-80.3,55,15,-12.287280664334878,-8.60364654526569,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
76.5,18267.0,-69.3,-80.3,61,15,-13.119295607090937,-7.272144303695057,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
73.0,18548.0,-67.7,-79.8,100,15,-14.772116295183121,2.6047226650039548,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
70.0,18800.0,-66.3,-79.3,60,14,-12.12435565298214,-7.000000000000002,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
68.0,18978.0,-65.7,-79.3,50,21,-16.086933305498537,-13.498539803417327,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
56.0,20170.0,-61.7,-79.3,120,23,-19.91858428704209,11.499999999999996,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
52.3,20590.0,-60.3,-79.3,102,11,-10.759623608071863,2.2870285989953527,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
52.0,20626.0,-60.4,-79.4,100,10,-9.84807753012208,1.736481776669303,JAX,72206,2023-07-07,30.5,-81.7,9.0,58.42
